"cell_id","scene_id","col","row","season","url"
47320174,"tile487089_736815_736967",3280,5340,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47332834,"tile487089_736815_736967",3281,5340,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47332836,"tile487089_736815_736967",3282,5340,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47320176,"tile487089_736815_736967",3283,5340,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47282177,"tile487089_736815_736967",3284,5340,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47282178,"tile487089_736815_736967",3285,5340,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47332843,"tile487089_736815_736967",3286,5340,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47332837,"tile487089_736815_736967",3287,5340,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47282180,"tile487089_736815_736967",3288,5340,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47269517,"tile487089_736815_736967",3289,5340,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47332835,"tile487089_736815_736967",3280,5341,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47294837,"tile487089_736815_736967",3281,5341,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47320175,"tile487089_736815_736967",3282,5341,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47332838,"tile487089_736815_736967",3283,5341,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47332839,"tile487089_736815_736967",3284,5341,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47269519,"tile487089_736815_736967",3285,5341,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47282172,"tile487089_736815_736967",3286,5341,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47332841,"tile487089_736815_736967",3287,5341,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47282181,"tile487089_736815_736967",3288,5341,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47320172,"tile487089_736815_736967",3289,5341,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47320173,"tile487089_736815_736967",3280,5342,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47269515,"tile487089_736815_736967",3281,5342,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47269516,"tile487089_736815_736967",3282,5342,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47269518,"tile487089_736815_736967",3283,5342,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47294839,"tile487089_736815_736967",3284,5342,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47294840,"tile487089_736815_736967",3285,5342,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47282173,"tile487089_736815_736967",3286,5342,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47282174,"tile487089_736815_736967",3287,5342,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47332840,"tile487089_736815_736967",3288,5342,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47282179,"tile487089_736815_736967",3289,5342,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47294845,"tile487089_736815_736967",3280,5343,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47332842,"tile487089_736815_736967",3281,5343,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47320171,"tile487089_736815_736967",3282,5343,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
47269512,"tile487089_736815_736967",3283,5343,"GS","s3://***REMOVED***/planet/composite_sr/GS/tile487089_736815_736967.tif"
